n,A,F,Time
80,0.9,0.000502513,28.6773417
85,0.7,0.001507538,29.0960499
90,1,0,13.516506
95,0.7,0.001507538,4.3415651
100,0.6,0.00201005,4.6087082
105,1,0,5.938675
110,1,0,5.8614351
115,0.8,0.001005025,2.3676536
120,1,0,5.7928326
125,1,0,0.6247271
130,1,0,1.3890976
135,0.8,0.001005025,5.7183589
140,1,0,0.6487469
145,1,0,0.3402038
150,1,0,0.4494292
155,1,0,1.0502745
160,1,0,0.2179981
165,1,0,0.5725631
170,0.9,0.000502513,1.6251945
175,1,0,0.4503669
180,1,0,0.2136058
185,1,0,0.3416052
190,1,0,0.8687413
195,1,0,0.1870392
200,1,0,0.2805457
205,1,0,0.3174968
210,1,0,0.2394478
215,1,0,0.2377377
220,1,0,0.1853618
